
,null,null,null,null,null
,null,null,null,null,null
D0001,null,null,null,null,null
D0001,Date,TimeWindow,A0001,A0002,A0003
D0001,01/01/2020,9 to 10,Holiday,Holiday,Holiday
D0001,01/01/2020,10 to 11,Holiday,Holiday,Holiday
3,01/01/2020,11 to 12,Holiday,Holiday,Holiday
4,01/01/2020,13 to 14,Holiday,Holiday,Holiday
5,01/01/2020,14 to 15,Holiday,Holiday,Holiday
6,01/01/2020,15 to 16,Holiday,Holiday,Holiday
7,02/01/2020,9 to 10,Holiday,Holiday,Holiday
8,02/01/2020,10 to 11,Holiday,Holiday,Holiday
9,02/01/2020,11 to 12,Holiday,Holiday,Holiday
10,02/01/2020,13 to 14,Holiday,Holiday,Holiday
11,02/01/2020,14 to 15,Holiday,Holiday,Holiday
12,02/01/2020,15 to 16,Holiday,Holiday,Holiday
13,03/01/2020,9 to 10,Free,Free,Free
14,03/01/2020,10 to 11,Free,Free,Free
15,03/01/2020,11 to 12,Free,Free,Free
16,03/01/2020,13 to 14,Free,Free,Free
17,03/01/2020,14 to 15,Free,Free,Free
18,03/01/2020,15 to 16,Free,Free,Free
19,04/01/2020,9 to 10,Weekend,Weekend,Weekend
20,04/01/2020,10 to 11,Weekend,Weekend,Weekend
21,04/01/2020,11 to 12,Weekend,Weekend,Weekend
22,04/01/2020,13 to 14,Weekend,Weekend,Weekend
23,04/01/2020,14 to 15,Weekend,Weekend,Weekend
24,04/01/2020,15 to 16,Weekend,Weekend,Weekend
25,05/01/2020,9 to 10,Weekend,Weekend,Weekend
26,05/01/2020,10 to 11,Weekend,Weekend,Weekend
27,05/01/2020,11 to 12,Weekend,Weekend,Weekend
28,05/01/2020,13 to 14,Weekend,Weekend,Weekend
29,05/01/2020,14 to 15,Weekend,Weekend,Weekend
30,05/01/2020,15 to 16,Weekend,Weekend,Weekend
31,06/01/2020,9 to 10,Free,Free,Free
32,06/01/2020,10 to 11,Free,Free,Free
33,06/01/2020,11 to 12,Free,Free,Free
34,06/01/2020,13 to 14,Free,Free,Free
35,06/01/2020,14 to 15,Free,Free,Free
36,06/01/2020,15 to 16,Free,Free,Free
37,07/01/2020,9 to 10,Free,Free,Free
38,07/01/2020,10 to 11,Free,Free,Free
39,07/01/2020,11 to 12,Free,Free,Free
40,07/01/2020,13 to 14,Free,Free,Free
41,07/01/2020,14 to 15,Free,Free,Free
42,07/01/2020,15 to 16,Free,Free,Free
43,08/01/2020,9 to 10,Free,Free,Free
44,08/01/2020,10 to 11,Free,Free,Free
45,08/01/2020,11 to 12,Free,Free,Free
46,08/01/2020,13 to 14,Free,Free,Free
47,08/01/2020,14 to 15,Free,Free,Free
48,08/01/2020,15 to 16,Free,Free,Free
49,09/01/2020,9 to 10,Free,Free,Free
50,09/01/2020,10 to 11,Free,Free,Free
51,09/01/2020,11 to 12,Free,Free,Free
52,09/01/2020,13 to 14,Free,Free,Free
53,09/01/2020,14 to 15,Free,Free,Free
54,09/01/2020,15 to 16,Free,Free,Free
55,10/01/2020,9 to 10,Free,Free,Free
56,10/01/2020,10 to 11,Free,Free,Free
57,10/01/2020,11 to 12,Free,Free,Free
58,10/01/2020,13 to 14,Free,Free,Free
59,10/01/2020,14 to 15,Free,Free,Free
60,10/01/2020,15 to 16,Free,Free,Free
61,11/01/2020,9 to 10,Weekend,Weekend,Weekend
62,11/01/2020,10 to 11,Weekend,Weekend,Weekend
63,11/01/2020,11 to 12,Weekend,Weekend,Weekend
64,11/01/2020,13 to 14,Weekend,Weekend,Weekend
65,11/01/2020,14 to 15,Weekend,Weekend,Weekend
66,11/01/2020,15 to 16,Weekend,Weekend,Weekend
67,12/01/2020,9 to 10,Weekend,Weekend,Weekend
68,12/01/2020,10 to 11,Weekend,Weekend,Weekend
69,12/01/2020,11 to 12,Weekend,Weekend,Weekend
70,12/01/2020,13 to 14,Weekend,Weekend,Weekend
71,12/01/2020,14 to 15,Weekend,Weekend,Weekend
72,12/01/2020,15 to 16,Weekend,Weekend,Weekend
73,13/01/2020,9 to 10,Free,Free,Free
74,13/01/2020,10 to 11,Free,Free,Free
75,13/01/2020,11 to 12,Free,Free,Free
76,13/01/2020,13 to 14,Free,Free,Free
77,13/01/2020,14 to 15,Free,Free,Free
78,13/01/2020,15 to 16,Free,Free,Free
79,14/01/2020,9 to 10,Free,Free,Free
80,14/01/2020,10 to 11,Free,Free,Free
81,14/01/2020,11 to 12,Free,Free,Free
82,14/01/2020,13 to 14,Free,Free,Free
83,14/01/2020,14 to 15,Free,Free,Free
84,14/01/2020,15 to 16,Free,Free,Free
85,15/01/2020,9 to 10,Free,Free,Free
86,15/01/2020,10 to 11,Free,Free,Free
87,15/01/2020,11 to 12,Free,Free,Free
88,15/01/2020,13 to 14,Free,Free,Free
89,15/01/2020,14 to 15,Free,Free,Free
90,15/01/2020,15 to 16,Free,Free,Free
91,16/01/2020,9 to 10,Free,Free,Free
92,16/01/2020,10 to 11,Free,Free,Free
93,16/01/2020,11 to 12,Free,Free,Free
94,16/01/2020,13 to 14,Free,Free,Free
95,16/01/2020,14 to 15,Free,Free,Free
96,16/01/2020,15 to 16,Free,Free,Free
97,17/01/2020,9 to 10,Free,Free,Free
98,17/01/2020,10 to 11,Free,Free,Free
99,17/01/2020,11 to 12,Free,Free,Free
100,17/01/2020,13 to 14,Free,Free,Free
101,17/01/2020,14 to 15,Free,Free,Free
102,17/01/2020,15 to 16,Free,Free,Free
103,18/01/2020,9 to 10,Weekend,Weekend,Weekend
104,18/01/2020,10 to 11,Weekend,Weekend,Weekend
105,18/01/2020,11 to 12,Weekend,Weekend,Weekend
106,18/01/2020,13 to 14,Weekend,Weekend,Weekend
107,18/01/2020,14 to 15,Weekend,Weekend,Weekend
108,18/01/2020,15 to 16,Weekend,Weekend,Weekend
109,19/01/2020,9 to 10,Weekend,Weekend,Weekend
110,19/01/2020,10 to 11,Weekend,Weekend,Weekend
111,19/01/2020,11 to 12,Weekend,Weekend,Weekend
112,19/01/2020,13 to 14,Weekend,Weekend,Weekend
113,19/01/2020,14 to 15,Weekend,Weekend,Weekend
114,19/01/2020,15 to 16,Weekend,Weekend,Weekend
115,20/01/2020,9 to 10,Free,Free,Free
116,20/01/2020,10 to 11,Free,Free,Free
117,20/01/2020,11 to 12,Free,Free,Free
118,20/01/2020,13 to 14,Free,Free,Free
119,20/01/2020,14 to 15,Free,Free,Free
120,20/01/2020,15 to 16,Free,Free,Free
121,21/01/2020,9 to 10,Free,Free,Free
122,21/01/2020,10 to 11,Free,Free,Free
123,21/01/2020,11 to 12,Free,Free,Free
124,21/01/2020,13 to 14,Free,Free,Free
125,21/01/2020,14 to 15,Free,Free,Free
126,21/01/2020,15 to 16,Free,Free,Free
127,22/01/2020,9 to 10,Free,Free,Free
128,22/01/2020,10 to 11,Free,Free,Free
129,22/01/2020,11 to 12,Free,Free,Free
130,22/01/2020,13 to 14,Free,Free,Free
131,22/01/2020,14 to 15,Free,Free,Free
132,22/01/2020,15 to 16,Free,Free,Free
133,23/01/2020,9 to 10,Free,Free,Free
134,23/01/2020,10 to 11,Free,Free,Free
135,23/01/2020,11 to 12,Free,Free,Free
136,23/01/2020,13 to 14,Free,Free,Free
137,23/01/2020,14 to 15,Free,Free,Free
138,23/01/2020,15 to 16,Free,Free,Free
139,24/01/2020,9 to 10,Free,Free,Free
140,24/01/2020,10 to 11,Free,Free,Free
141,24/01/2020,11 to 12,Free,Free,Free
142,24/01/2020,13 to 14,Free,Free,Free
143,24/01/2020,14 to 15,Free,Free,Free
144,24/01/2020,15 to 16,Free,Free,Free
145,25/01/2020,9 to 10,Weekend,Weekend,Weekend
146,25/01/2020,10 to 11,Weekend,Weekend,Weekend
147,25/01/2020,11 to 12,Weekend,Weekend,Weekend
148,25/01/2020,13 to 14,Weekend,Weekend,Weekend
149,25/01/2020,14 to 15,Weekend,Weekend,Weekend
150,25/01/2020,15 to 16,Weekend,Weekend,Weekend
151,26/01/2020,9 to 10,Weekend,Weekend,Weekend
152,26/01/2020,10 to 11,Weekend,Weekend,Weekend
153,26/01/2020,11 to 12,Weekend,Weekend,Weekend
154,26/01/2020,13 to 14,Weekend,Weekend,Weekend
155,26/01/2020,14 to 15,Weekend,Weekend,Weekend
156,26/01/2020,15 to 16,Weekend,Weekend,Weekend
157,27/01/2020,9 to 10,Free,Free,Free
158,27/01/2020,10 to 11,Free,Free,Free
159,27/01/2020,11 to 12,Free,Free,Free
160,27/01/2020,13 to 14,Free,Free,Free
161,27/01/2020,14 to 15,Free,Free,Free
162,27/01/2020,15 to 16,Free,Free,Free
163,28/01/2020,9 to 10,Free,Free,Free
164,28/01/2020,10 to 11,Free,Free,Free
165,28/01/2020,11 to 12,Free,Free,Free
